"Name","Team","TGT","TGT%","REC","REC%","CATCH%","TDS","TD%","TGT","TGT%","REC","REC%","CATCH%","TDS","TD%"
"Cedric Tillman","CLE","5","10.2%","2","6.9%","40.0%","1","33.3%","2","4.1%","1","3.4%","50.0%","0","0.0%"
"Malik Heath","GB","2","15.4%","2","20.0%","100.0%","2","100.0%","2","15.4%","2","20.0%","100.0%","2","100.0%"
"Josh Whyle","TEN","4","10.8%","2","7.1%","50.0%","1","100.0%","2","5.4%","1","3.6%","50.0%","0","0.0%"
"Elijah Higgins","ARI","3","12.5%","3","15.0%","100.0%","2","100.0%","2","8.3%","2","10.0%","100.0%","1","50.0%"
"Ja'Lynn Polk","NE","4","12.1%","2","16.7%","50.0%","2","100.0%","2","6.1%","2","16.7%","100.0%","2","100.0%"
"Troy Franklin","DEN","8","15.1%","5","17.9%","62.5%","2","100.0%","2","3.8%","2","7.1%","100.0%","2","100.0%"
"Ray Davis","BUF","2","10.5%","2","11.8%","100.0%","2","66.7%","2","10.5%","2","11.8%","100.0%","2","66.7%"
"Luke McCaffrey","WAS","3","12.5%","2","11.1%","66.7%","0","0.0%","2","8.3%","1","5.6%","50.0%","0","0.0%"
"Robert Woods","HOU","3","10.0%","1","5.0%","33.3%","0","0.0%","1","3.3%","0","0.0%","0.0%","0","0.0%"
"Kyle Juszczyk","SF","2","6.5%","2","10.5%","100.0%","1","50.0%","1","3.2%","1","5.3%","100.0%","1","50.0%"
"Cordarrelle Patterson","PIT","2","14.3%","2","16.7%","100.0%","1","100.0%","1","7.1%","1","8.3%","100.0%","0","0.0%"
"Nelson Agholor","BAL","2","6.9%","2","14.3%","100.0%","2","100.0%","1","3.4%","1","7.1%","100.0%","1","50.0%"
"MyCole Pruitt","PIT","1","10.0%","1","16.7%","100.0%","1","100.0%","1","10.0%","1","16.7%","100.0%","1","100.0%"
"DeAndre Carter","CHI","3","21.4%","2","22.2%","66.7%","0","0.0%","1","7.1%","1","11.1%","100.0%","0","0.0%"
"Chris Manhertz","NYG","1","25.0%","1","33.3%","100.0%","1","100.0%","1","25.0%","1","33.3%","100.0%","1","100.0%"
"Jared Goff","DET","1","100.0%","1","100.0%","100.0%","1","100.0%","1","100.0%","1","100.0%","100.0%","1","100.0%"
"Austin Hooper","NE","8","13.6%","4","8.9%","50.0%","2","66.7%","1","1.7%","1","2.2%","100.0%","1","33.3%"
"Kalif Raymond","DET","2","9.1%","2","11.8%","100.0%","1","50.0%","1","4.5%","1","5.9%","100.0%","1","50.0%"
"Christian McCaffrey","SF","4","21.1%","3","20.0%","75.0%","0","0.0%","1","5.3%","1","6.7%","100.0%","0","0.0%"
